abgangsjahr;bundesland;abschluss;geschlecht;anzahl
2022;Baden-Württemberg;ohne Hauptschulabschluss;Insgesamt;6919
2022;Baden-Württemberg;ohne Hauptschulabschluss;männlich;4240
2022;Baden-Württemberg;ohne Hauptschulabschluss;weiblich;2679
2022;Baden-Württemberg;Hauptschulabschluss;Insgesamt;16177
2022;Baden-Württemberg;Hauptschulabschluss;männlich;9648
2022;Baden-Württemberg;Hauptschulabschluss;weiblich;6529
2022;Baden-Württemberg;mittlerer Abschluss;Insgesamt;47332
2022;Baden-Württemberg;mittlerer Abschluss;männlich;24170
2022;Baden-Württemberg;mittlerer Abschluss;weiblich;23162
2022;Baden-Württemberg;Fachhochschulreife;Insgesamt;377
2022;Baden-Württemberg;Fachhochschulreife;männlich;187
2022;Baden-Württemberg;Fachhochschulreife;weiblich;190
2022;Baden-Württemberg;allgemeine Hochschulreife;Insgesamt;29381
2022;Baden-Württemberg;allgemeine Hochschulreife;männlich;13088
2022;Baden-Württemberg;allgemeine Hochschulreife;weiblich;16293
2022;Bayern;ohne Hauptschulabschluss;Insgesamt;6205
2022;Bayern;ohne Hauptschulabschluss;männlich;3901
2022;Bayern;ohne Hauptschulabschluss;weiblich;2304
2022;Bayern;Hauptschulabschluss;Insgesamt;25352
2022;Bayern;Hauptschulabschluss;männlich;15089
2022;Bayern;Hauptschulabschluss;weiblich;10263
2022;Bayern;mittlerer Abschluss;Insgesamt;56815
2022;Bayern;mittlerer Abschluss;männlich;28199
2022;Bayern;mittlerer Abschluss;weiblich;28616
2022;Bayern;allgemeine Hochschulreife;Insgesamt;33443
2022;Bayern;allgemeine Hochschulreife;männlich;15161
2022;Bayern;allgemeine Hochschulreife;weiblich;18282
2022;Berlin;ohne Hauptschulabschluss;Insgesamt;2098
2022;Berlin;ohne Hauptschulabschluss;männlich;1244
2022;Berlin;ohne Hauptschulabschluss;weiblich;854
2022;Berlin;Hauptschulabschluss;Insgesamt;4123
2022;Berlin;Hauptschulabschluss;männlich;2406
2022;Berlin;Hauptschulabschluss;weiblich;1717
2022;Berlin;mittlerer Abschluss;Insgesamt;10955
2022;Berlin;mittlerer Abschluss;männlich;5760
2022;Berlin;mittlerer Abschluss;weiblich;5195
2022;Berlin;allgemeine Hochschulreife;Insgesamt;13917
2022;Berlin;allgemeine Hochschulreife;männlich;6410
2022;Berlin;allgemeine Hochschulreife;weiblich;7507
2022;Brandenburg;ohne Hauptschulabschluss;Insgesamt;1549
2022;Brandenburg;ohne Hauptschulabschluss;männlich;993
2022;Brandenburg;ohne Hauptschulabschluss;weiblich;556
2022;Brandenburg;Hauptschulabschluss;Insgesamt;2833
2022;Brandenburg;Hauptschulabschluss;männlich;1674
2022;Brandenburg;Hauptschulabschluss;weiblich;1159
2022;Brandenburg;mittlerer Abschluss;Insgesamt;8426
2022;Brandenburg;mittlerer Abschluss;männlich;4437
2022;Brandenburg;mittlerer Abschluss;weiblich;3989
2022;Brandenburg;Fachhochschulreife;Insgesamt;15
2022;Brandenburg;Fachhochschulreife;männlich;14
2022;Brandenburg;Fachhochschulreife;weiblich;1
2022;Brandenburg;allgemeine Hochschulreife;Insgesamt;8453
2022;Brandenburg;allgemeine Hochschulreife;männlich;3830
2022;Brandenburg;allgemeine Hochschulreife;weiblich;4623
2022;Bremen;ohne Hauptschulabschluss;Insgesamt;632
2022;Bremen;ohne Hauptschulabschluss;männlich;386
2022;Bremen;ohne Hauptschulabschluss;weiblich;246
