Statistik;Gebiet;Schulart_1;Schulart_2;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10000;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Allgemeinbildende Schulen;Insgesamt;2023;Euro;12100;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Allgemeinbildende Schulen;Insgesamt;2023;Euro;14300;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10300;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10900;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Allgemeinbildende Schulen;Insgesamt;2023;Euro;13100;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10100;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10000;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10300;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Allgemeinbildende Schulen;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Allgemeinbildende Schulen;Insgesamt;2023;Euro;9700;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10200;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Allgemeinbildende Schulen;Insgesamt;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt;Allgemeinbildende Schulen;Insgesamt;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10000;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10500;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Allgemeinbildende Schulen;Insgesamt;2023;Euro;10500;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Berufliche Schulen;Insgesamt;2023;Euro;8000;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Berufliche Schulen;Insgesamt;2023;Euro;7900;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Berufliche Schulen;Insgesamt;2023;Euro;8900;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Berufliche Schulen;Insgesamt;2023;Euro;6800;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Berufliche Schulen;Insgesamt;2023;Euro;6500;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Berufliche Schulen;Insgesamt;2023;Euro;7900;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Berufliche Schulen;Insgesamt;2023;Euro;6900;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Berufliche Schulen;Insgesamt;2023;Euro;5600;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Berufliche Schulen;Insgesamt;2023;Euro;6600;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Berufliche Schulen;Insgesamt;2023;Euro;6200;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Berufliche Schulen;Insgesamt;2023;Euro;6400;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Berufliche Schulen;Insgesamt;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Berufliche Schulen;Insgesamt;2023;Euro;6800;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt;Berufliche Schulen;Insgesamt;2023;Euro;5900;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Berufliche Schulen;Insgesamt;2023;Euro;7100;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Berufliche Schulen;Insgesamt;2023;Euro;8800;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Berufliche Schulen;Insgesamt;2023;Euro;7100;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4200;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;5000;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;5400;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;5000;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4200;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;5300;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4500;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4000;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4000;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;3800;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4000;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Berufliche Schulen;darunter: Berufsschulen im dualen System;2023;Euro;4400;-
