Statistik;Gebiet;Schulart;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Grundschulen;2023;Euro;7400;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Grundschulen;2023;Euro;9300;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Grundschulen;2023;Euro;12200;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Grundschulen;2023;Euro;8000;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Grundschulen;2023;Euro;9100;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Grundschulen;2023;Euro;12500;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Grundschulen;2023;Euro;9100;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Grundschulen;2023;Euro;8300;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Grundschulen;2023;Euro;8400;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Grundschulen;2023;Euro;7400;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Grundschulen;2023;Euro;8000;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Grundschulen;2023;Euro;8600;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Grundschulen;2023;Euro;8100;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Grundschulen;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Grundschulen;2023;Euro;8300;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Grundschulen;2023;Euro;8200;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Grundschulen;2023;Euro;8400;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Hauptschulen;2023;Euro;13700;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Hauptschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Schularten mit mehreren Bildungsgängen;2023;Euro;11900;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Schularten mit mehreren Bildungsgängen;2023;Euro;9600;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Schularten mit mehreren Bildungsgängen;2023;Euro;12400;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Schularten mit mehreren Bildungsgängen;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Schularten mit mehreren Bildungsgängen;2023;Euro;9400;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Schularten mit mehreren Bildungsgängen;2023;Euro;9300;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Schularten mit mehreren Bildungsgängen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Schularten mit mehreren Bildungsgängen;2023;Euro;10700;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Schularten mit mehreren Bildungsgängen;2023;Euro;10600;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Realschulen;2023;Euro;9100;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Realschulen;2023;Euro;12100;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Realschulen;2023;Euro;9200;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Realschulen;2023;Euro;9000;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Realschulen;2023;Euro;8300;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Realschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Realschulen;2023;Euro;9700;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Gymnasien;2023;Euro;11100;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Gymnasien;2023;Euro;13900;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Gymnasien;2023;Euro;14300;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Gymnasien;2023;Euro;10200;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Gymnasien;2023;Euro;9900;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Gymnasien;2023;Euro;11900;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Gymnasien;2023;Euro;9900;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Gymnasien;2023;Euro;11300;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Gymnasien;2023;Euro;10100;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Gymnasien;2023;Euro;9700;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Gymnasien;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Gymnasien;2023;Euro;10000;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Gymnasien;2023;Euro;10500;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Gymnasien;2023;Euro;10300;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Gymnasien;2023;Euro;9500;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Gymnasien;2023;Euro;11900;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Gymnasien;2023;Euro;10900;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Integrierte Gesamtschulen;2023;Euro;10500;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Integrierte Gesamtschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Integrierte Gesamtschulen;2023;Euro;16600;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Integrierte Gesamtschulen;2023;Euro;12200;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Integrierte Gesamtschulen;2023;Euro;12300;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Integrierte Gesamtschulen;2023;Euro;14200;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Integrierte Gesamtschulen;2023;Euro;11000;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Integrierte Gesamtschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Integrierte Gesamtschulen;2023;Euro;11400;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Integrierte Gesamtschulen;2023;Euro;10800;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Integrierte Gesamtschulen;2023;Euro;10400;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Integrierte Gesamtschulen;2023;Euro;10500;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Integrierte Gesamtschulen;2023;Euro;-;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Integrierte Gesamtschulen;2023;Euro;9800;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Integrierte Gesamtschulen;2023;Euro;11200;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Integrierte Gesamtschulen;2023;Euro;11500;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Integrierte Gesamtschulen;2023;Euro;11600;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Grundschulen;2024;Euro;8000;p
Bildungsberichterstattung für nationale Zwecke;Bayern;Grundschulen;2024;Euro;9700;p
Bildungsberichterstattung für nationale Zwecke;Berlin;Grundschulen;2024;Euro;12500;p
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Grundschulen;2024;Euro;8900;p
Bildungsberichterstattung für nationale Zwecke;Bremen;Grundschulen;2024;Euro;10000;p
Bildungsberichterstattung für nationale Zwecke;Hamburg;Grundschulen;2024;Euro;13600;p
Bildungsberichterstattung für nationale Zwecke;Hessen;Grundschulen;2024;Euro;10100;p
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Grundschulen;2024;Euro;9000;p
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Grundschulen;2024;Euro;9100;p
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Grundschulen;2024;Euro;8100;p
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Grundschulen;2024;Euro;8300;p
Bildungsberichterstattung für nationale Zwecke;Saarland;Grundschulen;2024;Euro;9200;p
Bildungsberichterstattung für nationale Zwecke;Sachsen;Grundschulen;2024;Euro;8800;p
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Grundschulen;2024;Euro;7600;p
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Grundschulen;2024;Euro;8800;p
Bildungsberichterstattung für nationale Zwecke;Thüringen;Grundschulen;2024;Euro;8500;p
