Statistik;Gebiet;Ausgabeart_1;Ausgabeart_2;Jahr;Masseinheit;Ausgaben_je_Schueler;Anmerkung
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Personalausgaben;Insgesamt;2023;Euro;7600;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Personalausgaben;Insgesamt;2023;Euro;7800;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Personalausgaben;Insgesamt;2023;Euro;8800;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Personalausgaben;Insgesamt;2023;Euro;7200;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Personalausgaben;Insgesamt;2023;Euro;7700;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Personalausgaben;Insgesamt;2023;Euro;8000;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Personalausgaben;Insgesamt;2023;Euro;7200;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Personalausgaben;Insgesamt;2023;Euro;6500;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Personalausgaben;Insgesamt;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Personalausgaben;Insgesamt;2023;Euro;7000;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Personalausgaben;Insgesamt;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Personalausgaben;Insgesamt;2023;Euro;7300;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Personalausgaben;Insgesamt;2023;Euro;6900;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Personalausgaben;Insgesamt;2023;Euro;7100;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Personalausgaben;Insgesamt;2023;Euro;7200;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Personalausgaben;Insgesamt;2023;Euro;8400;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Personalausgaben;Insgesamt;2023;Euro;7400;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Laufender Sachaufwand;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Laufender Sachaufwand;Insgesamt;2023;Euro;1400;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Laufender Sachaufwand;Insgesamt;2023;Euro;2900;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Laufender Sachaufwand;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Laufender Sachaufwand;Insgesamt;2023;Euro;1800;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Laufender Sachaufwand;Insgesamt;2023;Euro;4100;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Laufender Sachaufwand;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Laufender Sachaufwand;Insgesamt;2023;Euro;1500;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Laufender Sachaufwand;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Laufender Sachaufwand;Insgesamt;2023;Euro;1200;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Laufender Sachaufwand;Insgesamt;2023;Euro;900;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Laufender Sachaufwand;Insgesamt;2023;Euro;1400;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Laufender Sachaufwand;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Laufender Sachaufwand;Insgesamt;2023;Euro;1000;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Laufender Sachaufwand;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Laufender Sachaufwand;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Laufender Sachaufwand;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Baden-Württemberg;Investitionen;Insgesamt;2023;Euro;800;-
Bildungsberichterstattung für nationale Zwecke;Bayern;Investitionen;Insgesamt;2023;Euro;2000;-
Bildungsberichterstattung für nationale Zwecke;Berlin;Investitionen;Insgesamt;2023;Euro;1800;-
Bildungsberichterstattung für nationale Zwecke;Brandenburg;Investitionen;Insgesamt;2023;Euro;1300;-
Bildungsberichterstattung für nationale Zwecke;Bremen;Investitionen;Insgesamt;2023;Euro;300;-
Bildungsberichterstattung für nationale Zwecke;Hamburg;Investitionen;Insgesamt;2023;Euro;100;-
Bildungsberichterstattung für nationale Zwecke;Hessen;Investitionen;Insgesamt;2023;Euro;1000;-
Bildungsberichterstattung für nationale Zwecke;Mecklenburg-Vorpommern;Investitionen;Insgesamt;2023;Euro;1200;-
Bildungsberichterstattung für nationale Zwecke;Niedersachsen;Investitionen;Insgesamt;2023;Euro;1100;-
Bildungsberichterstattung für nationale Zwecke;Nordrhein-Westfalen;Investitionen;Insgesamt;2023;Euro;600;-
Bildungsberichterstattung für nationale Zwecke;Rheinland-Pfalz;Investitionen;Insgesamt;2023;Euro;800;-
Bildungsberichterstattung für nationale Zwecke;Saarland;Investitionen;Insgesamt;2023;Euro;800;-
Bildungsberichterstattung für nationale Zwecke;Sachsen;Investitionen;Insgesamt;2023;Euro;1200;-
Bildungsberichterstattung für nationale Zwecke;Sachsen-Anhalt ;Investitionen;Insgesamt;2023;Euro;800;-
Bildungsberichterstattung für nationale Zwecke;Schleswig-Holstein;Investitionen;Insgesamt;2023;Euro;900;-
Bildungsberichterstattung für nationale Zwecke;Thüringen;Investitionen;Insgesamt;2023;Euro;700;-
Bildungsberichterstattung für nationale Zwecke;Deutschland;Investitionen;Insgesamt;2023;Euro;1000;-
